task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,best_metric,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,nregret,log_regret
lcbench_126025,lcbench,CMAES,0,200,200,-96.22254943847656,-96.22254943847656,96.22254943847656,,True,0.4844333999790251,0.1053106002509594,0.49470150005072355,10400.0,0.37912279972806573,96.22254943847656,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,1,200,200,-91.72552490234375,-91.72552490234375,91.72552490234375,,True,0.44160020002163947,0.09556139993947,0.4518873000051826,10400.0,0.3460388000821695,91.72552490234375,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,2,200,200,-91.92729187011719,-91.92729187011719,91.92729187011719,,True,0.45641789998626336,0.10228009975980967,0.46646720002172515,10400.0,0.3541378002264537,91.92729187011719,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,3,200,200,-91.27108001708984,-91.27108001708984,91.27108001708984,,True,0.44566110003506765,0.10064050060464069,0.4564527000184171,10400.0,0.34502059943042696,91.27108001708984,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,4,200,200,-94.63540649414062,-94.63540649414062,94.63540649414062,,True,0.46650889999000356,0.1029180001351051,0.4762364999623969,10400.0,0.36359089985489845,94.63540649414062,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,5,200,200,-92.26526641845703,-92.26526641845703,92.26526641845703,,True,0.47924220003187656,0.10744970006635413,0.48992860002908856,10400.0,0.37179249996552244,92.26526641845703,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,6,200,200,-97.73186492919922,-97.73186492919922,97.73186492919922,,True,0.4603534999769181,0.10590590047650039,0.4699700000346638,10400.0,0.3544475995004177,97.73186492919922,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,7,200,200,-94.59353637695312,-94.59353637695312,94.59353637695312,,True,0.4360434000263922,0.09747889993013814,0.44518340000649914,10400.0,0.33856450009625405,94.59353637695312,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,8,200,200,-91.18025207519531,-91.18025207519531,91.18025207519531,,True,0.4573687000083737,0.10417250043246895,0.4650923000299372,10400.0,0.35319619957590476,91.18025207519531,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,9,200,200,-95.08737182617188,-95.08737182617188,95.08737182617188,,True,0.4672706000274047,0.10584889992605895,0.47755200002575293,10400.0,0.3614217001013458,95.08737182617188,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,10,200,200,-96.60873413085938,-96.60873413085938,96.60873413085938,,True,0.49269189999904484,0.11062700010370463,0.5016999000217766,10400.0,0.3820648998953402,96.60873413085938,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,11,200,200,-96.08426666259766,-96.08426666259766,96.08426666259766,,True,0.4736920000286773,0.10793119989102706,0.4840029000188224,10400.0,0.3657608001376502,96.08426666259766,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,12,200,200,-96.7057113647461,-96.7057113647461,96.7057113647461,,True,0.4748688000254333,0.10542010003700852,0.48604460002388805,10400.0,0.3694486999884248,96.7057113647461,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,13,200,200,-91.5329360961914,-91.5329360961914,91.5329360961914,,True,0.45671699999365956,0.10377679951488972,0.4630860000033863,10400.0,0.35294020047876984,91.5329360961914,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,14,200,200,-94.20103454589844,-94.20103454589844,94.20103454589844,,True,0.4563734999974258,0.10398289957083762,0.4647694999584928,10400.0,0.3523906004265882,94.20103454589844,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,15,200,200,-92.25646209716797,-92.25646209716797,92.25646209716797,,True,0.46933970000827685,0.10519240004941821,0.48059180000564083,10400.0,0.36414729995885864,92.25646209716797,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,16,200,200,-97.51141357421875,-97.51141357421875,97.51141357421875,,True,0.46972170000663027,0.10421270009828731,0.4803008000017144,10400.0,0.36550899990834296,97.51141357421875,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,17,200,200,-91.9704360961914,-91.9704360961914,91.9704360961914,,True,0.44756559998495504,0.10134590009693056,0.45724060002248734,10400.0,0.3462196998880245,91.9704360961914,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,18,200,200,-92.45552062988281,-92.45552062988281,92.45552062988281,,True,0.45177750004222617,0.10351830057334155,0.4606997999944724,10400.0,0.3482591994688846,92.45552062988281,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,CMAES,19,200,200,-92.29131317138672,-92.29131317138672,92.29131317138672,,True,0.47477899998193607,0.10386340005788952,0.4847450999659486,10400.0,0.37091559992404655,92.29131317138672,,,,,,,,,,,,,,,,,,,
lcbench_126025,lcbench,FMP,0,200,200,-91.92168426513672,-91.92168426513672,91.92168426513672,,True,0.4969559999881312,0.08125499996822327,0.5059113999595866,10400.0,0.41570100001990795,91.92168426513672,200.0,-91.92168426513672,0.1871345029239766,0.0,4.0,2.0,11.0,0.4968263999908231,0.08991539932321757,0.40691100066760555,0.32748538011695905,0.17857142857142858,0.6374269005847953,0.1926605504587156,0.03508771929824561,0.16666666666666666,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""soft"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 3, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 0, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",,
lcbench_126025,lcbench,FMP,1,200,200,-91.76752471923828,-91.76752471923828,91.76752471923828,,True,0.588769800029695,0.08874169993214309,0.5966396000003442,10400.0,0.5000281000975519,91.76752471923828,200.0,-91.76752471923828,0.14619883040935672,0.0,3.0,3.0,15.0,0.588657200045418,0.09821509948233142,0.49044210056308657,0.25146198830409355,0.2558139534883721,0.6491228070175439,0.10810810810810811,0.09941520467836257,0.11764705882352941,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""soft"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 3, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 1, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",,
lcbench_126025,lcbench,FMP,2,200,200,-98.37860107421875,-98.37860107421875,98.37860107421875,,True,0.6611644999939017,0.0930450998712331,0.6741133999894373,10400.0,0.5681194001226686,98.37860107421875,200.0,-98.37860107421875,0.15028901734104047,0.0,2.0,2.0,19.0,0.6609432999975979,0.10379200003808364,0.5571512999595143,0.1907514450867052,0.21212121212121213,0.7976878612716763,0.13043478260869565,0.011560693641618497,0.5,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""soft"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 3, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 2, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",,
lcbench_126025,lcbench,FMP,3,200,200,-91.5650634765625,-91.5650634765625,91.5650634765625,,True,0.6465673000202514,0.09310309949796647,0.6588128000148572,10400.0,0.553464200522285,91.5650634765625,200.0,-91.5650634765625,0.18023255813953487,0.0,3.0,2.0,15.0,0.6464118000003509,0.10368729953188449,0.5427245004684664,0.2441860465116279,0.21428571428571427,0.6976744186046512,0.175,0.05813953488372093,0.1,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""soft"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 3, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 3, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",,
