task,count,mean,std,min,10%,50%,90%,max
cat__ackley_10d,200.0,1.271978605588108,0.19916098932690385,0.6650200082781541,1.0015517707295691,1.2963056839429576,1.5321732463197615,1.656734915427934
cont__rastrigin_10d,200.0,1.1760327366612346,0.1365040784504715,0.8394175694878994,0.990415045763311,1.1786763013434922,1.3453199215449114,1.5039932276813202
cont__schwefel_10d,200.0,1.251553293612065,0.21140963922019892,0.6201008799399093,0.9736601596038786,1.2484091789400424,1.5218244026091345,1.6972474845994676
lcbench_126026,200.0,0.2299196243286133,0.42741054342013063,-0.8501983642578125,-0.3772125244140625,0.2527748107910156,0.7841699218749999,1.13687744140625
lcbench_167181,200.0,-0.3004855651855412,0.7850061844468791,-5.199656677246088,-0.9015039062499943,-0.12547607421874432,0.30368698120117754,0.548603820800787
lcbench_167185,200.0,-0.01342440795899006,0.14182117609380054,-0.6024002075195369,-0.20022140502930252,0.0023765563964786907,0.14378677368163492,0.2830444335937443
lcbench_168329,200.0,-5.567537939071652,3.434974491517609,-13.254757690429685,-10.285003166198727,-5.490443801879881,-0.9605996704101545,2.678311538696292
lcbench_189908,200.0,-0.5635472793579044,0.6496036421030646,-2.344802093505854,-1.4666584777831975,-0.46080398559569746,0.20596847534180251,0.9301368713378964
lcbench_7593,200.0,-1.5471612854003962,2.131288962684287,-7.852302551269537,-4.404001922607428,-1.477291870117193,1.1266950988769469,3.1903930664062443
