knob,level,task,mean,sem,count
T_mcmc,0.1,cat__ackley_10d,0.9367958629608382,0.03516988900904107,10
T_mcmc,0.1,cont__rastrigin_10d,0.9153991274408032,0.04487931191737977,10
T_mcmc,0.1,cont__schwefel_10d,0.8928836938572411,0.08346521468190786,10
T_mcmc,0.1,lcbench_126026,0.5678436279296875,0.1973720619222026,10
T_mcmc,0.1,lcbench_167181,0.20736312866211506,0.08746674671634112,10
T_mcmc,0.1,lcbench_167185,-0.03951416015625568,0.04565052384353311,10
T_mcmc,0.1,lcbench_168329,-0.8739044189453097,1.1401938924094828,10
T_mcmc,0.1,lcbench_189908,-0.11405487060546307,0.18325812257657367,10
T_mcmc,0.1,lcbench_7593,1.2647697448730413,0.5859515991413702,10
T_mcmc,0.3,cat__ackley_10d,0.9476064976896976,0.05003455090619695,10
T_mcmc,0.3,cont__rastrigin_10d,0.9706039698075015,0.0306643473729246,10
T_mcmc,0.3,cont__schwefel_10d,0.910379477812371,0.06310064842146752,10
T_mcmc,0.3,lcbench_126026,0.2611602783203125,0.22362147075800498,10
T_mcmc,0.3,lcbench_167181,0.06933822631836506,0.11668984716158985,10
T_mcmc,0.3,lcbench_167185,0.057977294921869316,0.0563410000829139,10
T_mcmc,0.3,lcbench_168329,-0.9234634399414035,1.9345538016892014,10
T_mcmc,0.3,lcbench_189908,0.018727111816411936,0.16046532829779322,10
T_mcmc,0.3,lcbench_7593,0.8629623413085881,0.9348969784391363,10
T_mcmc,1.0,cat__ackley_10d,1.0087757928576324,0.033631947577979146,10
T_mcmc,1.0,cont__rastrigin_10d,0.9855216899141815,0.04367908188247684,10
T_mcmc,1.0,cont__schwefel_10d,0.9931992400984797,0.05677422155135796,10
T_mcmc,1.0,lcbench_126026,0.0,0.25465661016996366,10
T_mcmc,1.0,lcbench_167181,5.684341886080802e-15,0.14554432252411506,10
T_mcmc,1.0,lcbench_167185,-5.684341886080802e-15,0.05268006330112147,10
T_mcmc,1.0,lcbench_168329,2.842170943040401e-15,0.7659029723194525,10
T_mcmc,1.0,lcbench_189908,5.684341886080802e-15,0.1244473024033902,10
T_mcmc,1.0,lcbench_7593,-5.684341886080802e-15,1.0995395440920244,10
T_mcmc,3.0,cat__ackley_10d,1.1006262448441386,0.041595888421614255,10
T_mcmc,3.0,cont__rastrigin_10d,0.9907585502405608,0.03745107419973351,10
T_mcmc,3.0,cont__schwefel_10d,0.933272858974268,0.05034469530203657,10
T_mcmc,3.0,lcbench_126026,0.2832489013671875,0.238345601146564,10
T_mcmc,3.0,lcbench_167181,0.05206832885742756,0.14040503616408218,10
T_mcmc,3.0,lcbench_167185,0.10552673339843181,0.0791504558309592,10
T_mcmc,3.0,lcbench_168329,0.42245368957519813,1.272336545846309,10
T_mcmc,3.0,lcbench_189908,-0.1400840759277287,0.28640737510692654,10
T_mcmc,3.0,lcbench_7593,-0.8891380310058651,0.7994299030773374,10
T_mcmc,10.0,cat__ackley_10d,1.0203980858294754,0.03554897495750789,10
T_mcmc,10.0,cont__rastrigin_10d,0.9822953347425573,0.04624356730266156,10
T_mcmc,10.0,cont__schwefel_10d,0.8840504743543249,0.06844414957743805,10
T_mcmc,10.0,lcbench_126026,0.006400299072265625,0.28000756214779293,10
T_mcmc,10.0,lcbench_167181,-0.01351394653319744,0.11648498711029893,10
T_mcmc,10.0,lcbench_167185,0.00926437377929119,0.06905532862643525,10
T_mcmc,10.0,lcbench_168329,-1.8955821990966768,1.5689518752791962,10
T_mcmc,10.0,lcbench_189908,-0.2176971435546818,0.11293785034366964,10
T_mcmc,10.0,lcbench_7593,-0.7204086303710995,0.8856968829634313,10
burnin_fraction,0.0,cat__ackley_10d,1.0087757928576324,0.033631947577979146,10
burnin_fraction,0.0,cont__rastrigin_10d,0.9855216899141815,0.04367908188247684,10
burnin_fraction,0.0,cont__schwefel_10d,1.021953093572423,0.04251859468489667,10
burnin_fraction,0.0,lcbench_126026,0.0,0.25465661016996366,10
burnin_fraction,0.0,lcbench_167181,5.684341886080802e-15,0.14554432252411506,10
burnin_fraction,0.0,lcbench_167185,-5.684341886080802e-15,0.05268006330112147,10
burnin_fraction,0.0,lcbench_168329,2.842170943040401e-15,0.7659029723194525,10
burnin_fraction,0.0,lcbench_189908,5.684341886080802e-15,0.1244473024033902,10
burnin_fraction,0.0,lcbench_7593,-5.684341886080802e-15,1.0995395440920244,10
burnin_fraction,0.05,cat__ackley_10d,1.0087757928576324,0.033631947577979146,10
burnin_fraction,0.05,cont__rastrigin_10d,0.9855216899141815,0.04367908188247684,10
burnin_fraction,0.05,cont__schwefel_10d,1.007075321696124,0.053784489243700585,10
burnin_fraction,0.05,lcbench_126026,0.0,0.25465661016996366,10
burnin_fraction,0.05,lcbench_167181,5.684341886080802e-15,0.14554432252411506,10
burnin_fraction,0.05,lcbench_167185,-5.684341886080802e-15,0.05268006330112147,10
burnin_fraction,0.05,lcbench_168329,2.842170943040401e-15,0.7659029723194525,10
burnin_fraction,0.05,lcbench_189908,5.684341886080802e-15,0.1244473024033902,10
burnin_fraction,0.05,lcbench_7593,-5.684341886080802e-15,1.0995395440920244,10
burnin_fraction,0.1,cat__ackley_10d,1.0087757928576324,0.033631947577979146,10
burnin_fraction,0.1,cont__rastrigin_10d,0.9855216899141815,0.04367908188247684,10
burnin_fraction,0.1,cont__schwefel_10d,0.9931992400984797,0.05677422155135796,10
burnin_fraction,0.1,lcbench_126026,0.0,0.25465661016996366,10
burnin_fraction,0.1,lcbench_167181,5.684341886080802e-15,0.14554432252411506,10
burnin_fraction,0.1,lcbench_167185,-5.684341886080802e-15,0.05268006330112147,10
burnin_fraction,0.1,lcbench_168329,2.842170943040401e-15,0.7659029723194525,10
burnin_fraction,0.1,lcbench_189908,5.684341886080802e-15,0.1244473024033902,10
burnin_fraction,0.1,lcbench_7593,-5.684341886080802e-15,1.0995395440920244,10
burnin_fraction,0.2,cat__ackley_10d,0.9070857772058224,0.044048923744793085,10
burnin_fraction,0.2,cont__rastrigin_10d,0.975498997439123,0.03953811679904672,10
burnin_fraction,0.2,cont__schwefel_10d,0.9004927155241544,0.05039312074107209,10
burnin_fraction,0.2,lcbench_126026,0.03541107177734375,0.26448879980102263,10
burnin_fraction,0.2,lcbench_167181,-0.0051734924316349405,0.14651950964269503,10
burnin_fraction,0.2,lcbench_167185,-0.014843750000005684,0.0565302518453998,10
burnin_fraction,0.2,lcbench_168329,0.42428970336914346,0.7755244182779915,10
burnin_fraction,0.2,lcbench_189908,5.684341886080802e-15,0.1244473024033902,10
burnin_fraction,0.2,lcbench_7593,-5.684341886080802e-15,1.0995395440920244,10
burnin_fraction,0.4,cat__ackley_10d,0.9418568968762562,0.05516285362423538,10
burnin_fraction,0.4,cont__rastrigin_10d,0.9807082221062957,0.06406948598564757,10
burnin_fraction,0.4,cont__schwefel_10d,0.9771035329423018,0.0692928576281523,10
burnin_fraction,0.4,lcbench_126026,-0.0144775390625,0.3095466626655607,10
burnin_fraction,0.4,lcbench_167181,0.04180068969727131,0.11495001413845704,10
burnin_fraction,0.4,lcbench_167185,-0.05448226928711506,0.09216417525344522,10
burnin_fraction,0.4,lcbench_168329,0.5965847015380887,1.2232733713585209,10
burnin_fraction,0.4,lcbench_189908,-0.21108474731444743,0.2063070109404201,10
burnin_fraction,0.4,lcbench_7593,-0.07229003906250568,0.9677102953579355,10
bw_prior_strength,2.5,cat__ackley_10d,0.999206292037017,0.05007044767775251,10
bw_prior_strength,2.5,cont__rastrigin_10d,0.9728282343765002,0.05222349943381424,10
bw_prior_strength,2.5,cont__schwefel_10d,0.9897179086564053,0.04771773691245777,10
bw_prior_strength,2.5,lcbench_126026,0.32773590087890625,0.22582721363003622,10
bw_prior_strength,2.5,lcbench_167181,0.24594345092774006,0.11064771924912949,10
bw_prior_strength,2.5,lcbench_167185,0.08174285888671307,0.09456896921005051,10
bw_prior_strength,2.5,lcbench_168329,-0.3261451721191378,1.3743216643342973,10
bw_prior_strength,2.5,lcbench_189908,-0.15685272216796306,0.2532353973241296,10
bw_prior_strength,2.5,lcbench_7593,0.3542350769042912,0.9072596851342215,10
bw_prior_strength,7.5,cat__ackley_10d,0.9555729396065067,0.03953320992708721,10
bw_prior_strength,7.5,cont__rastrigin_10d,0.9617957803784837,0.053692988045462534,10
bw_prior_strength,7.5,cont__schwefel_10d,0.9843897987489247,0.06771564617876055,10
bw_prior_strength,7.5,lcbench_126026,0.09842681884765625,0.23384445020745762,10
bw_prior_strength,7.5,lcbench_167181,0.052990722656255686,0.18286377848568075,10
bw_prior_strength,7.5,lcbench_167185,0.12469787597655682,0.10832981200514927,10
bw_prior_strength,7.5,lcbench_168329,-0.07387313842773154,0.9458463206609381,10
bw_prior_strength,7.5,lcbench_189908,-0.34079132080077557,0.188455140688402,10
bw_prior_strength,7.5,lcbench_7593,0.8788681030273381,1.0541108762414029,10
