task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,regret,best_metric,truncated,nregret,log_regret
cat__ackley_10d,cat,L2_K4_ORCH,0,500,500,7.898648799300098,7.898648799300098,7.898648799300098,0.0,False,2.9132171999663115,0.013922000071033835,2.9199147999752313,500.0,2.8992951998952776,500,7.898648799300098,0.2854077253218884,0.0,10,1,56,2.9130029999651015,0.02430339972488582,2.8886996002402157,0.5579399141630901,0.18461538461538463,0.388412017167382,0.425414364640884,0.0536480686695279,0.32,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 0, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",7.898648799300098,7.898648799300098,,,0.897552804050265
cat__ackley_10d,cat,L2_K4_ORCH,1,500,500,10.901096155925828,10.901096155925828,10.901096155925828,0.0,False,3.003109899989795,0.01310020062373951,3.0124509999877773,500.0,2.9900096993660554,500,10.901096155925828,0.3333333333333333,0.0,6,3,63,3.002920600003563,0.022979600471444428,2.9799409995321184,0.5192307692307693,0.1934156378600823,0.46794871794871795,0.4748858447488584,0.01282051282051282,0.8333333333333334,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 1, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",10.901096155925828,10.901096155925828,,,1.0374701704667502
cat__ackley_10d,cat,L2_K4_ORCH,2,500,500,14.286745460139175,14.286745460139175,14.286745460139175,0.0,False,2.9887373000383377,0.012979999359231442,2.995158299978357,500.0,2.9757573006791063,500,14.286745460139175,0.291220556745182,0.0,7,3,58,2.988505100016482,0.022711500467266887,2.9657935995492153,0.556745182012848,0.19615384615384615,0.4282655246252677,0.415,0.014989293361884369,0.2857142857142857,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 2, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",14.286745460139175,14.286745460139175,,,1.1549333071898147
cat__ackley_10d,cat,L2_K4_ORCH,3,500,500,10.56984124115807,10.56984124115807,10.56984124115807,0.0,False,2.920156500011217,0.013315199874341488,2.92934149998473,500.0,2.9068413001368754,500,10.56984124115807,0.35181236673773986,0.0,8,0,61,2.919966800021939,0.023699099489022046,2.896267700532917,0.5927505330490405,0.20503597122302158,0.4051172707889126,0.5631578947368421,0.0021321961620469083,1.0,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 3, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",10.56984124115807,10.56984124115807,,,1.0240684642604663
cat__ackley_10d,cat,L2_K4_ORCH,4,500,500,13.204529222548295,13.204529222548295,13.204529222548295,0.0,False,2.6536846999661066,0.011606598971411586,2.659547000017483,500.0,2.642078100994695,500,13.204529222548295,0.32908704883227174,0.0,6,0,67,2.6535519000026397,0.020641900191549212,2.6329099998110905,0.583864118895966,0.2,0.40552016985138006,0.5130890052356021,0.010615711252653927,0.4,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 4, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",13.204529222548295,13.204529222548295,,,1.1207229220371715
cat__ackley_10d,cat,L2_K4_ORCH,5,500,500,7.137641139373962,7.137641139373962,7.137641139373962,0.0,False,3.0800923999631777,0.012840100564062595,3.0913992999703623,500.0,3.067252299399115,500,7.137641139373962,0.375,0.0,5,0,72,3.0798324999632314,0.02286499983165413,3.0569675001315773,0.5508474576271186,0.24615384615384617,0.4322033898305085,0.5392156862745098,0.01694915254237288,0.375,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 5, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",7.137641139373962,7.137641139373962,,,0.8535547090571532
cat__ackley_10d,cat,L2_K4_ORCH,6,500,500,14.591706220731236,14.591706220731236,14.591706220731236,0.0,False,3.072988500003703,0.013252999051474035,3.0809785000164993,500.0,3.059735500952229,500,14.591706220731236,0.31422505307855625,0.0,6,0,68,3.0727442000061274,0.023376500990707427,3.04936769901542,0.5498938428874734,0.18146718146718147,0.4416135881104034,0.47596153846153844,0.008492569002123142,0.5,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 6, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",14.591706220731236,14.591706220731236,,,1.164106077289217
cat__ackley_10d,cat,L2_K4_ORCH,7,500,500,11.281770340216399,11.281770340216399,11.281770340216399,0.0,False,3.0339599000290036,0.013011998380534351,3.0399432000122033,500.0,3.0209479016484693,500,11.281770340216399,0.3651804670912951,0.0,5,1,70,3.0338192000053823,0.022870900225825608,3.0109482997795567,0.5690021231422505,0.19776119402985073,0.42462845010615713,0.585,0.006369426751592357,0.6666666666666666,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 7, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",11.281770340216399,11.281770340216399,,,1.0523772546703993
cat__ackley_10d,cat,L2_K4_ORCH,8,500,500,11.151019207813361,11.151019207813361,11.151019207813361,0.0,False,3.005011099972762,0.013292800751514733,3.0112954000360332,500.0,2.9917182992212474,500,11.151019207813361,0.35607675906183367,0.0,7,1,65,3.004834200022742,0.023700900026597083,2.981133299996145,0.5479744136460555,0.20622568093385213,0.4349680170575693,0.5294117647058824,0.017057569296375266,0.75,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 8, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",11.151019207813361,11.151019207813361,,,1.047314563895435
cat__ackley_10d,cat,L2_K4_ORCH,9,500,500,15.021084477465456,15.021084477465456,15.021084477465456,0.0,False,2.993956500024069,0.013051599846221507,2.9991083000204526,500.0,2.9809049001778476,500,15.021084477465456,0.34328358208955223,0.0,8,0,64,2.9938309999997728,0.02315929887117818,2.9706717011285946,0.5906183368869936,0.23104693140794225,0.39232409381663114,0.5054347826086957,0.017057569296375266,0.5,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": true, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 9, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",15.021084477465456,15.021084477465456,,,1.1767012885654367
cat__ackley_10d,cat,L3_NOSUB,0,500,500,6.929344894994793,6.929344894994793,6.929344894994793,0.0,False,2.859360700007528,0.012344199698418379,2.870674500009045,500.0,2.8470165003091097,500,6.929344894994793,0.2799145299145299,0.0,8,1,60,2.859203099971637,0.022171900025568902,2.8370311999460682,0.47649572649572647,0.18834080717488788,0.49572649572649574,0.3577586206896552,0.027777777777777776,0.46153846153846156,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 0, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",6.929344894994793,6.929344894994793,,,0.8406921780552723
cat__ackley_10d,cat,L3_NOSUB,1,500,500,8.20781399371307,8.20781399371307,8.20781399371307,0.0,False,2.7633947000140324,0.012329400109592825,2.7724519000039436,500.0,2.7510652999044396,500,8.20781399371307,0.2676659528907923,0.0,10,0,57,2.7632286999723874,0.021684999810531735,2.7415437001618557,0.49036402569593146,0.19213973799126638,0.5032119914346895,0.3446808510638298,0.006423982869379015,0.0,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""viterbi"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 4, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 1, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",8.20781399371307,8.20781399371307,,,0.9142275058551057
