method,n_tasks,wins,sig_wins,sig_losses
L2_K4_ORCH,45,30,0,1
L3_NOSUB,45,31,1,4
L4_SOFT,45,33,3,3
L5_DREAM,45,30,8,3
L5_DREAM_LEGACYKERNEL,45,30,10,4
