suite,task,method,mean,std,sem,median,q25,q75,n
rbv2_svm,rbv2_svm_1067,CMAES,-0.8587516039609909,0.004317639080678742,0.0009654534486707372,-0.8577579259872437,-0.8632291257381439,-0.8546045869588852,20
rbv2_svm,rbv2_svm_1067,FMP,-0.8619168281555176,0.004841441147208905,0.0010825791514223694,-0.8631135821342468,-0.86542709171772,-0.8562846928834915,20
rbv2_svm,rbv2_svm_1067,FMP_DREAM,-0.8609089434146882,0.005085946307827604,0.0011372521674216608,-0.8620496392250061,-0.8653013855218887,-0.85579614341259,20
rbv2_svm,rbv2_svm_1067,GP,-0.8648156195878982,0.004022454010395482,0.0008994480603610967,-0.8655962944030762,-0.866665855050087,-0.8615179657936096,20
rbv2_svm,rbv2_svm_1067,RS,-0.8574853122234345,0.002798113788987115,0.0006256772640954691,-0.8571225702762604,-0.8595734536647797,-0.8550848960876465,20
rbv2_svm,rbv2_svm_1067,SMAC,-0.8607385724782943,0.006518204943852406,0.0014575149345729095,-0.8577693402767181,-0.8660702109336853,-0.8552433401346207,20
rbv2_svm,rbv2_svm_1067,TPE,-0.8632329136133194,0.005208202612134657,0.001164589508132509,-0.8647118806838989,-0.867499515414238,-0.8607139885425568,20
rbv2_svm,rbv2_svm_11,CMAES,-0.9804176598787308,0.0037206631911099485,0.0008319655816703124,-0.9808167219161987,-0.9838282465934753,-0.9784114211797714,20
rbv2_svm,rbv2_svm_11,FMP,-0.9833624005317688,0.001354528429202523,0.00030288176451528557,-0.9835780262947083,-0.9845055192708969,-0.9825471043586731,20
rbv2_svm,rbv2_svm_11,FMP_DREAM,-0.9827896118164062,0.002748852497844735,0.0006146621045300935,-0.9841900765895844,-0.9846251308917999,-0.9819796830415726,20
rbv2_svm,rbv2_svm_11,GP,-0.9762699544429779,0.021501542041732203,0.004807890962638281,-0.9850783348083496,-0.9850783348083496,-0.9850753098726273,20
rbv2_svm,rbv2_svm_11,RS,-0.9775842875242233,0.006589884293476474,0.00147354292440715,-0.9799250066280365,-0.9825839102268219,-0.9735197275876999,20
rbv2_svm,rbv2_svm_11,SMAC,-0.984334209561348,0.00253533410119029,0.0005669179395934835,-0.9850673675537109,-0.9850737899541855,-0.9849883466959,20
rbv2_svm,rbv2_svm_11,TPE,-0.9846656203269959,0.0002733990817296284,6.113389317334632e-05,-0.984750509262085,-0.9848383963108063,-0.9845671057701111,20
rbv2_svm,rbv2_svm_1486,CMAES,-0.9649069905281067,0.00019404089611475158,4.3388863412758165e-05,-0.9649222195148468,-0.9650574326515198,-0.9647649526596069,20
rbv2_svm,rbv2_svm_1486,FMP,-0.9647101402282715,0.0002480891676447654,5.5474424333501345e-05,-0.96477210521698,-0.9648494571447372,-0.9645809233188629,20
rbv2_svm,rbv2_svm_1486,FMP_DREAM,-0.96456937789917,0.0005666382683267262,0.00012670416866312727,-0.9646664559841156,-0.9649401605129242,-0.9643712341785431,20
rbv2_svm,rbv2_svm_1486,GP,-0.9648525685071945,0.0005368107747036952,0.00012003453832917633,-0.9652058184146881,-0.9652176797389984,-0.9643785655498505,20
rbv2_svm,rbv2_svm_1486,RS,-0.9641917735338211,0.0005793300063525975,0.00012954212756097569,-0.964301347732544,-0.9646925777196884,-0.9637390971183777,20
rbv2_svm,rbv2_svm_1486,SMAC,-0.9649764627218247,0.00033610343975286154,7.515501387589117e-05,-0.9651952385902405,-0.9652080684900284,-0.9646553695201874,20
