method,time_total,time_objective,time_overhead,n_evals,overhead_per_eval_ms
CMAES,1.063866702895336,0.05071321525201232,1.0131534876433235,500.0,2.026306975286647
FMP,2.2957210699993946,0.051216419477561045,2.2445046505218333,500.0,4.489009301043667
FMP_DREAM,2.2561931757884994,0.04985790189200902,2.20633527389649,500.0,4.41267054779298
GP,220.38257360263165,0.07794499997521359,220.30462860265644,500.0,440.6092572053129
L1_K1_VITERBI_SUB,2.2331851049999387,0.039288420008597315,2.1938966849913415,500.0,4.387793369982683
RS,0.3999138415791669,0.0444527715541067,0.35546107002506017,500.0,0.7109221400501203
TPE,10.92916867710584,0.05733888893438761,10.871829788171453,500.0,21.743659576342907
