task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,regret,best_metric,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,nregret,log_regret
cat__ackley_10d,cat,CMAES,0,500,500,2.4764485180932962,2.4764485180932962,2.4764485180932962,0.0,False,0.8848264000262134,0.017486899567302316,0.8888523000059649,500.0,0.8673395004589111,2.4764485180932962,2.4764485180932962,,,,,,,,,,,,,,,,,,0.13018180550585823,0.3938293040366407
cat__ackley_10d,cat,CMAES,1,500,500,2.9369988606221935,2.9369988606221935,2.9369988606221935,0.0,False,0.8704370000050403,0.016764299769420177,0.8748327000066638,500.0,0.8536727002356201,2.9369988606221935,2.9369988606221935,,,,,,,,,,,,,,,,,,0.1543919898398798,0.467903778043006
cat__ackley_10d,cat,CMAES,2,500,500,1.1337861637088094,1.1337861637088094,1.1337861637088094,0.0,False,0.882037700037472,0.017030500632245094,0.8859677000436932,500.0,0.8650071994052269,1.1337861637088094,1.1337861637088094,,,,,,,,,,,,,,,,,,0.059600806869514265,0.05453115272450008
cat__ackley_10d,cat,CMAES,3,500,500,1.8272075874864737,1.8272075874864737,1.8272075874864737,0.0,False,0.8313002000213601,0.016350499994587153,0.835228800016921,500.0,0.8149497000267729,1.8272075874864737,1.8272075874864737,,,,,,,,,,,,,,,,,,0.09605254501964625,0.26178788997922803
cat__ackley_10d,cat,CMAES,4,500,500,2.351027009235914,2.351027009235914,2.351027009235914,0.0,False,0.9135243000346236,0.018307999649550766,0.9174542999826372,500.0,0.8952163003850728,2.351027009235914,2.351027009235914,,,,,,,,,,,,,,,,,,0.12358865472843193,0.37125761844657845
cat__ackley_10d,cat,CMAES,5,500,500,1.424168880792497,1.424168880792497,1.424168880792497,0.0,False,0.9068109000218101,0.017694500042125583,0.9101683999761008,500.0,0.8891163999796845,1.424168880792497,1.424168880792497,,,,,,,,,,,,,,,,,,0.07486562910242577,0.15356149186256823
cat__ackley_10d,cat,CMAES,6,500,500,1.8390993036616234,1.8390993036616234,1.8390993036616234,0.0,False,0.8898229000042193,0.017175100336316973,0.8936851999606006,500.0,0.8726477996679023,1.8390993036616234,1.8390993036616234,,,,,,,,,,,,,,,,,,0.09667766808234415,0.26460517995496147
cat__ackley_10d,cat,CMAES,7,500,500,2.1829230845470744,2.1829230845470744,2.1829230845470744,0.0,False,0.8973125999909826,0.017675200011581182,0.9009252999676391,500.0,0.8796373999794014,2.1829230845470744,2.1829230845470744,,,,,,,,,,,,,,,,,,0.11475177713185535,0.33903843358141
cat__ackley_10d,cat,CMAES,8,500,500,2.339965745659765,2.339965745659765,2.339965745659765,0.0,False,0.8559643999906257,0.01696629961952567,0.8598695999826305,500.0,0.8389981003711,2.339965745659765,2.339965745659765,,,,,,,,,,,,,,,,,,0.12300718685094585,0.36920949989757984
cat__ackley_10d,cat,CMAES,9,500,500,0.9568645264243618,0.9568645264243618,0.9568645264243618,0.0,False,0.8936081000138074,0.017850099597126245,0.8973969999933615,500.0,0.8757580004166812,0.9568645264243618,0.9568645264243618,,,,,,,,,,,,,,,,,,0.05030040025638787,-0.01914954559901192
cat__ackley_10d,cat,CMAES,10,500,500,2.1961413533638177,2.1961413533638177,2.1961413533638177,0.0,False,0.8966403999947943,0.018326000194065273,0.8996588999871165,500.0,0.878314399800729,2.1961413533638177,2.1961413533638177,,,,,,,,,,,,,,,,,,0.11544663433871959,0.34166028979019597
cat__ackley_10d,cat,CMAES,11,500,500,2.3445925632179194,2.3445925632179194,2.3445925632179194,0.0,False,0.8831223999732174,0.017521200294140726,0.8868498000083491,500.0,0.8656011996790767,2.3445925632179194,2.3445925632179194,,,,,,,,,,,,,,,,,,0.12325040913441593,0.37006738311950993
cat__ackley_10d,cat,CMAES,12,500,500,2.195337627173441,2.195337627173441,2.195337627173441,0.0,False,0.8681089999736287,0.017111500026658177,0.8720356000121683,500.0,0.8509974999469705,2.195337627173441,2.195337627173441,,,,,,,,,,,,,,,,,,0.1154043841058433,0.3415013210897259
cat__ackley_10d,cat,CMAES,13,500,500,1.2147468572113849,1.2147468572113849,1.2147468572113849,0.0,False,0.8701718999654986,0.017214000632520765,0.8742710000369698,500.0,0.8529578993329778,1.2147468572113849,1.2147468572113849,,,,,,,,,,,,,,,,,,0.06385674402232312,0.08448578413176365
cat__ackley_10d,cat,CMAES,14,500,500,1.3533596317462728,1.3533596317462728,1.3533596317462728,0.0,False,0.8707182999933138,0.017831100209150463,0.8752406000276096,500.0,0.8528871997841634,1.3533596317462728,1.3533596317462728,,,,,,,,,,,,,,,,,,0.07114333250711889,0.1314132181273007
cat__ackley_10d,cat,CMAES,15,500,500,2.4109604722770475,2.4109604722770475,2.4109604722770475,0.0,False,0.9073852000292391,0.017602399981115013,0.9117647000239231,500.0,0.889782800048124,2.4109604722770475,2.4109604722770475,,,,,,,,,,,,,,,,,,0.12673923362070813,0.3821900901732856
cat__ackley_10d,cat,CMAES,16,500,500,2.516082923559154,2.516082923559154,2.516082923559154,0.0,False,0.8884402999537997,0.01762980071362108,0.8923465000116266,500.0,0.8708104992401786,2.516082923559154,2.516082923559154,,,,,,,,,,,,,,,,,,0.13226530468865944,0.40072495022757815
cat__ackley_10d,cat,CMAES,17,500,500,1.5063231805918886,1.5063231805918886,1.5063231805918886,0.0,False,0.8806060000206344,0.01728229981381446,0.8844256000011228,500.0,0.8633237002068199,1.5063231805918886,1.5063231805918886,,,,,,,,,,,,,,,,,,0.07918431168347487,0.17791815944136183
cat__ackley_10d,cat,CMAES,18,500,500,1.912571553999428,1.912571553999428,1.912571553999428,0.0,False,0.8608930999762379,0.016923699993640184,0.8650888999691233,500.0,0.8439693999825977,1.912571553999428,1.912571553999428,,,,,,,,,,,,,,,,,,0.10053995317879269,0.28161769215309634
cat__ackley_10d,cat,CMAES,19,500,500,2.2128449420397485,2.2128449420397485,2.2128449420397485,0.0,False,0.9010396000230685,0.017421199940145016,0.9042609999887645,500.0,0.8836184000829235,2.2128449420397485,2.2128449420397485,,,,,,,,,,,,,,,,,,0.11632470764263551,0.3449509832108693
cat__ackley_10d,cat,FMP,0,500,500,9.992428420959325,9.992428420959325,9.992428420959325,0.0,False,2.707900699984748,0.012778000149410218,2.713709299976472,500.0,2.6951226998353377,9.992428420959325,9.992428420959325,500.0,9.992428420959325,0.3418803418803419,0.0,16.0,0.0,37.0,2.707779999997001,0.022953399165999144,2.684826600831002,0.5512820512820513,0.4186046511627907,0.42735042735042733,0.24,0.021367521367521368,0.4,"{""decoder"": ""soft"", ""explore_subsample"": false, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""seed"": 0}",0.5252814115554855,0.9996710459495765
