task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,regret,best_metric,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,truncated,nregret,log_regret
cat__ackley_10d,cat,CMAES,0,500,500,2.3701548594339497,2.3701548594339497,2.3701548594339497,0.0,False,2.5757053999986965,0.02012109980569221,5.771917499994743,500.0,2.5555843001930043,2.3701548594339497,2.3701548594339497,,,,,,,,,,,,,,,,,,,0.12459416647480294,0.37477672255057043
cat__ackley_10d,cat,CMAES,1,500,500,2.665412416312656,2.665412416312656,2.665412416312656,0.0,False,2.670690300001297,0.021016099970438518,5.867101099996944,500.0,2.6496742000308586,2.665412416312656,2.665412416312656,,,,,,,,,,,,,,,,,,,0.1401152490100913,0.4257644164664548
cat__ackley_10d,cat,CMAES,2,500,500,2.382403483883668,2.382403483883668,2.382403483883668,0.0,False,2.6907707000063965,0.021854799953871407,5.886915399998543,500.0,2.668915900052525,2.382403483883668,2.382403483883668,,,,,,,,,,,,,,,,,,,0.12523805147147357,0.37701531549489603
cat__ackley_10d,cat,CMAES,3,500,500,3.564862054903412,3.564862054903412,3.564862054903412,0.0,False,2.6364832000108436,0.020121800174820237,5.83287470000505,500.0,2.6163613998360233,3.564862054903412,3.564862054903412,,,,,,,,,,,,,,,,,,,0.1873974666931342,0.5520427291520041
cat__ackley_10d,cat,CMAES,4,500,500,2.732950747575274,2.732950747575274,2.732950747575274,0.0,False,2.6369462000002386,0.021080099904793315,5.834305600001244,500.0,2.6158661000954453,2.732950747575274,2.732950747575274,,,,,,,,,,,,,,,,,,,0.14366560018451824,0.43663180503748833
cat__ackley_10d,cat,CMAES,5,500,500,2.7519042761727524,2.7519042761727524,2.7519042761727524,0.0,False,2.690412699987064,0.021317199934856035,5.887242400000105,500.0,2.669095500052208,2.7519042761727524,2.7519042761727524,,,,,,,,,,,,,,,,,,,0.1446619482028596,0.4396333230763532
cat__ackley_10d,cat,CMAES,6,500,500,3.7194481485682798,3.7194481485682798,3.7194481485682798,0.0,False,2.6908858999959193,0.02173260020208545,5.888070800006972,500.0,2.669153299793834,3.7194481485682798,3.7194481485682798,,,,,,,,,,,,,,,,,,,0.19552373971369535,0.5704785087502207
cat__ackley_10d,cat,CMAES,7,500,500,1.9987040205068216,1.9987040205068216,1.9987040205068216,0.0,False,2.7063111000024946,0.021922300016740337,5.9030353000125615,500.0,2.6843887999857543,1.9987040205068216,1.9987040205068216,,,,,,,,,,,,,,,,,,,0.10506775980214159,0.30074848607540794
cat__ackley_10d,cat,CMAES,8,500,500,2.427311287970085,2.427311287970085,2.427311287970085,0.0,False,1.0640772000042489,0.021097600052598864,1.0717964000068605,500.0,1.04297959995165,2.427311287970085,2.427311287970085,,,,,,,,,,,,,,,,,,,0.12759876237443002,0.3851254755404488
cat__ackley_10d,cat,CMAES,9,500,500,2.145328140471357,2.145328140471357,2.145328140471357,0.0,False,1.0056474000011804,0.019038500075112097,1.0104782999987947,500.0,0.9866088999260683,2.145328140471357,2.145328140471357,,,,,,,,,,,,,,,,,,,0.11277548823995587,0.3314937294797362
cat__ackley_10d,cat,CMAES,10,500,500,1.8812413135476445,1.8812413135476445,1.8812413135476445,0.0,False,1.1228808000014396,0.0242288996669231,1.1286467000027187,500.0,1.0986519003345165,1.8812413135476445,1.8812413135476445,,,,,,,,,,,,,,,,,,,0.09889298687234747,0.2744445076294266
cat__ackley_10d,cat,CMAES,11,500,500,2.6771472249324657,2.6771472249324657,2.6771472249324657,0.0,False,1.0357714999991003,0.019972099835285917,1.0410650999983773,500.0,1.0157994001638144,2.6771472249324657,2.6771472249324657,,,,,,,,,,,,,,,,,,,0.14073212376530275,0.42767225509356904
cat__ackley_10d,cat,CMAES,12,500,500,4.966290037822031,4.966290037822031,4.966290037822031,0.0,False,1.0225897999916924,0.019481700161122717,1.0270300999982283,500.0,1.0031080998305697,4.966290037822031,4.966290037822031,,,,,,,,,,,,,,,,,,,0.26106765356350214,0.6960320793240321
cat__ackley_10d,cat,CMAES,13,500,500,2.7228278802485737,2.7228278802485737,2.7228278802485737,0.0,False,1.0187734000064665,0.019738199960556813,1.0236206000117818,500.0,0.9990352000459097,2.7228278802485737,2.7228278802485737,,,,,,,,,,,,,,,,,,,0.14313346186794998,0.4350201888903076
cat__ackley_10d,cat,CMAES,14,500,500,3.345844539191216,3.345844539191216,3.345844539191216,0.0,False,1.0403359000047203,0.019502000068314373,1.0464005999965593,500.0,1.020833899936406,3.345844539191216,3.345844539191216,,,,,,,,,,,,,,,,,,,0.17588416632589146,0.524505758102924
cat__ackley_10d,cat,CMAES,15,500,500,2.0621353769416584,2.0621353769416584,2.0621353769416584,0.0,False,0.9672289000009187,0.018599299975903705,0.9722981999948388,500.0,0.948629600025015,2.0621353769416584,2.0621353769416584,,,,,,,,,,,,,,,,,,,0.10840221575632007,0.31431717284336
cat__ackley_10d,cat,CMAES,16,500,500,2.292891386264419,2.292891386264419,2.292891386264419,0.0,False,1.061738399992464,0.0202500000159489,1.0669926999980817,500.0,1.0414883999765152,2.292891386264419,2.292891386264419,,,,,,,,,,,,,,,,,,,0.12053258459115967,0.36038348278803134
cat__ackley_10d,cat,CMAES,17,500,500,3.3943547454618117,3.3943547454618117,3.3943547454618117,0.0,False,1.102825699999812,0.02073499994003214,1.1084746000124142,500.0,1.08209070005978,3.3943547454618117,3.3943547454618117,,,,,,,,,,,,,,,,,,,0.1784342481029316,0.5307572286552138
cat__ackley_10d,cat,CMAES,18,500,500,3.143539218755365,3.143539218755365,3.143539218755365,0.0,False,1.1021105000108946,0.020102499998756684,1.1073342000017874,500.0,1.082008000012138,3.143539218755365,3.143539218755365,,,,,,,,,,,,,,,,,,,0.16524939169384797,0.4974188829725837
cat__ackley_10d,cat,CMAES,19,500,500,3.4258776479772846,3.4258776479772846,3.4258776479772846,0.0,False,1.0678265000024112,0.019535199884558097,1.0759925000020303,500.0,1.048291300117853,3.4258776479772846,3.4258776479772846,,,,,,,,,,,,,,,,,,,0.1800913422578341,0.5347718484845019
cat__ackley_10d,cat,FMP,0,500,500,7.074170391795327,7.074170391795327,7.074170391795327,0.0,False,3.0109724000212736,0.01249230041867122,3.0164899000083096,500.0,2.9984800996026024,7.074170391795327,7.074170391795327,500.0,7.074170391795327,0.3090128755364807,0.0,11.0,0.0,55.0,3.01082550000865,0.02244570094626397,2.988379799062386,0.41630901287553645,0.2422680412371134,0.5772532188841202,0.35315985130111527,0.006437768240343348,0.6666666666666666,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""soft"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 3, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 0, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",,0.3718745886827701,0.8496755162259334
cat__ackley_10d,cat,FMP,1,500,500,7.168254582371745,7.168254582371745,7.168254582371745,0.0,False,3.0643894000095315,0.012294000771362334,3.072966000007,500.0,3.052095399238169,7.168254582371745,7.168254582371745,500.0,7.168254582371745,0.31556503198294245,0.0,7.0,1.0,63.0,3.064199300017208,0.021938200166914612,3.0422610998502932,0.42217484008528783,0.19696969696969696,0.55863539445629,0.4083969465648855,0.019189765458422176,0.2222222222222222,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""soft"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 3, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 1, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",,0.3768204010868275,0.8554134210062312
cat__ackley_10d,cat,FMP,2,500,500,10.23462829126807,10.23462829126807,10.23462829126807,0.0,False,3.17507299996214,0.013254600344225764,3.1812027000123635,500.0,3.161818399617914,10.23462829126807,10.23462829126807,500.0,10.23462829126807,0.34549356223175964,0.0,9.0,2.0,55.0,3.1749346000142395,0.023770199390128255,3.1511644006241113,0.4356223175965665,0.2512315270935961,0.555793991416309,0.42084942084942084,0.008583690987124463,0.25,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""soft"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 3, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 2, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",,0.5380133606267923,1.0100720742596707
cat__ackley_10d,cat,FMP,3,500,500,7.466644839069998,7.466644839069998,7.466644839069998,0.0,False,3.010207499959506,0.012847401376347989,3.0191702999873087,500.0,2.997360098583158,7.466644839069998,7.466644839069998,500.0,7.466644839069998,0.30620985010706636,0.0,9.0,1.0,55.0,3.010042399982922,0.023080500192008913,2.986961899790913,0.4732334047109208,0.2398190045248869,0.5267665952890792,0.36585365853658536,0.0,,"{""T_mcmc"": 0.0712622725967732, ""burnin_fraction"": 0.11826007033992322, ""bw_prior_strength"": 2.1719757341790142, ""decoder"": ""soft"", ""emission_mu"": [-0.014986723504698351, 0.14986723504698352, 0.022480085257047526], ""emission_sigma"": [0.0899203410281901, 0.3746680876174588, 0.029973447009396702], ""explore_subsample"": false, ""hmm_window"": 17, ""kde_tau"": 0.005093545098235108, ""n_chains"": 3, ""n_init"": 23, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 14, ""seed"": 3, ""sigma_fraction"": 0.604337970018016, ""wide_sigma_fraction"": 0.0774111288779193}",,0.39250616320888576,0.8731254940227761
