method,n_tasks,wins,sig_wins,sig_losses
CMAES,10,2,0,1
FMP_DREAM,10,2,0,4
GP,10,10,10,0
L1_K1_VITERBI_SUB,10,1,0,9
RS,10,0,0,9
TPE_HB,10,2,0,5
