task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,regret,best_metric,nregret,log_regret
cat__ackley_10d,cat,CTRL_FIXED,0,500,500,8.202552726554806,8.202552726554806,8.202552726554806,0.0,False,4.8802155000012135,0.026990200058207847,4.892649200002779,500.0,4.853225299943006,500,8.202552726554806,0.41030927835051545,0.0,7,0,0,4.879776599991601,0.04954100000031758,4.830235599991283,1.0,0.41030927835051545,0.0,,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 0, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",8.202552726554806,8.202552726554806,,0.9139490307409428
cat__ackley_10d,cat,CTRL_FIXED,1,500,500,8.270947018388851,8.270947018388851,8.270947018388851,0.0,False,4.805587599999853,0.03222290005942341,4.825620899995556,500.0,4.77336469994043,500,8.270947018388851,0.33195020746887965,0.0,9,1,0,4.805321100007859,0.05501870006264653,4.7503023999452125,1.0,0.33195020746887965,0.0,,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 1, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",8.270947018388851,8.270947018388851,,0.9175552388529266
cat__ackley_10d,cat,CTRL_FIXED,2,500,500,8.80470653710076,8.80470653710076,8.80470653710076,0.0,False,4.842543699996895,0.02468039985978976,4.857297599999583,500.0,4.817863300137105,500,8.80470653710076,0.3755186721991701,0.0,9,1,0,4.842272199995932,0.04945670011511538,4.792815499880817,1.0,0.3755186721991701,0.0,,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 2, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",8.80470653710076,8.80470653710076,,0.9447148854093397
cat__ackley_10d,cat,CTRL_FIXED,3,500,500,18.45705232312262,18.45705232312262,18.45705232312262,0.0,False,5.444803599995794,0.027163199905771762,5.458984200013219,500.0,5.417640400090022,500,18.45705232312262,0.2661122661122661,0.0,11,0,0,5.444511900001089,0.05637980002211407,5.388132099978975,0.997920997920998,0.26458333333333334,0.0,,0.002079002079002079,1.0,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 3, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",18.45705232312262,18.45705232312262,,1.2661623433843605
cat__ackley_10d,cat,CTRL_FIXED,4,500,500,4.5981990126113175,4.5981990126113175,4.5981990126113175,0.0,False,4.265126500002225,0.022191699885297567,4.283220800003619,500.0,4.242934800116927,500,4.5981990126113175,0.37681159420289856,0.0,9,0,0,4.264848699996946,0.04438150017813314,4.220467199818813,1.0,0.37681159420289856,0.0,,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 4, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",4.5981990126113175,4.5981990126113175,,0.6625877638469098
cat__ackley_10d,cat,CTRL_FIXED,5,500,500,10.410503056502264,10.410503056502264,10.410503056502264,0.0,False,5.588370600002236,0.02944889992068056,5.6050182999897515,500.0,5.558921700081555,500,10.410503056502264,0.3755186721991701,0.0,9,1,0,5.588124600006267,0.06010880012763664,5.528015799878631,0.9937759336099585,0.3757828810020877,0.0,,0.006224066390041493,0.3333333333333333,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 5, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",10.410503056502264,10.410503056502264,,1.0174717160028321
cat__ackley_10d,cat,CTRL_FIXED,6,500,500,6.872787154530188,6.872787154530188,6.872787154530188,0.0,False,3.9866805999918142,0.02122410014271736,3.999521799996728,500.0,3.965456499849097,500,6.872787154530188,0.39300411522633744,0.0,6,0,0,3.986416100000497,0.03953669997281395,3.946879400027683,1.0,0.39300411522633744,0.0,,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 6, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",6.872787154530188,6.872787154530188,,0.8371328943173311
cat__ackley_10d,cat,CTRL_FIXED,7,500,500,10.011517022609453,10.011517022609453,10.011517022609453,0.0,False,4.303579300001729,0.023474899993743747,4.318948799991631,500.0,4.2801044000079855,500,10.011517022609453,0.3942505133470226,0.0,5,0,0,4.303314800010412,0.04220609994081315,4.261108700069599,0.997946611909651,0.3950617283950617,0.0,,0.002053388090349076,0.0,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 7, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",10.011517022609453,10.011517022609453,,1.0004998901296946
cat__ackley_10d,cat,CTRL_FIXED,8,500,500,5.79517551953295,5.79517551953295,5.79517551953295,0.0,False,4.112353499993333,0.02155960028176196,4.1245471000002,500.0,4.090793899711571,500,5.79517551953295,0.38923395445134573,0.0,8,1,0,4.112073599986616,0.0398674001917243,4.072206199794891,1.0,0.38923395445134573,0.0,,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 8, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",5.79517551953295,5.79517551953295,,0.7630665940546961
cat__ackley_10d,cat,CTRL_FIXED,9,500,500,8.78566882154415,8.78566882154415,8.78566882154415,0.0,False,3.963724400004139,0.021181199816055596,3.979269099989324,500.0,3.9425432001880836,500,8.78566882154415,0.39462809917355374,0.0,7,1,0,3.9628653999970993,0.038849200078402646,3.9240161999186967,1.0,0.39462809917355374,0.0,,0.0,,"{""T_mcmc"": 0.05021528037835243, ""burnin_fraction"": 0.21939164151847443, ""bw_prior_strength"": 89.80956876532602, ""controller"": ""fixed"", ""decoder"": ""soft"", ""emission_mu"": [-0.00946430696609267, 0.0946430696609267, 0.014196460449139003], ""emission_sigma"": [0.05678584179655601, 0.23660767415231673, 0.01892861393218534], ""explore_subsample"": false, ""hmm_window"": 12, ""kde_tau"": 0.006205167444665816, ""n_chains"": 4, ""n_init"": 8, ""orchestrate_every"": 5, ""p_dream"": 0.0, ""rejection_streak"": 24, ""seed"": 9, ""sigma_fraction"": 0.022095999012449814, ""wide_sigma_fraction"": 0.3008503702038378}",8.78566882154415,8.78566882154415,,0.9437748283754351
