method,n_tasks,wins,sig_wins,sig_losses
CTRL_FIXED,45,2,0,14
CTRL_HMM_LEARNEMIS,45,15,0,0
CTRL_HMM_NOBW,45,22,0,0
CTRL_HMM_VITERBI,45,22,0,0
CTRL_RANDOM,45,17,0,0
CTRL_RULE,45,29,0,0
