task,suite,method,seed,budget,n_evals,best_value,best_true_value,best_raw,f_star,maximize_raw,time_total,time_objective,wall_time,cost_total,time_overhead,fmp_n_evals,fmp_best_loss,fmp_acceptance_rate,fmp_kernel_fraction_dream,fmp_n_rescues,fmp_n_reseeds,fmp_n_bw_refits,fmp_time_total,fmp_time_objective,fmp_time_overhead,fmp_frac_exploit,fmp_acc_exploit,fmp_frac_explore,fmp_acc_explore,fmp_frac_trapped,fmp_acc_trapped,fmp_params,regret,best_metric,truncated,knob,level,score
cat__ackley_10d,cat,R__000,0,500,500,15.928042753328743,15.928042753328743,15.928042753328743,0.0,False,0.5493875999818556,0.01237569871591404,3.4922035000054166,500.0,0.5370119012659416,500,15.928042753328743,0.1050328227571116,0.975929978118162,15,4,40,0.5490707999560982,0.021860699518583715,0.5272101004375145,0.4814004376367615,0.15,0.5054704595185996,0.05627705627705628,0.01312910284463895,0.3333333333333333,"{""T_mcmc"": 0.146072722616095, ""burnin_fraction"": 0.07094127672921946, ""bw_prior_strength"": 148.07461753666936, ""decoder"": ""soft"", ""emission_mu"": [-0.1036112745256752, 1.036112745256752, 0.1554169117885128], ""emission_sigma"": [0.6216676471540512, 2.5902818631418802, 0.2072225490513504], ""explore_subsample"": false, ""hmm_window"": 5, ""kde_tau"": 0.02754045167249469, ""n_chains"": 2, ""n_init"": 24, ""orchestrate_every"": 5, ""p_dream"": 0.9669622001623905, ""rejection_streak"": 23, ""seed"": 0, ""sigma_fraction"": 0.14839845971870938, ""wide_sigma_fraction"": 0.34403037879135195}",15.928042753328743,15.928042753328743,,random,,2.04308620681661
cat__ackley_10d,cat,R__000,1,500,500,15.878880861794304,15.878880861794304,15.878880861794304,0.0,False,0.6037233999813907,0.0129035001154989,3.4836372999707237,500.0,0.5908198998658918,500,15.878880861794304,0.1019522776572668,0.9696312364425163,12,3,47,0.6034634000388905,0.022145198832731694,0.5813182012061588,0.5336225596529284,0.15447154471544716,0.44251626898047725,0.03431372549019608,0.02386117136659436,0.18181818181818182,"{""T_mcmc"": 0.146072722616095, ""burnin_fraction"": 0.07094127672921946, ""bw_prior_strength"": 148.07461753666936, ""decoder"": ""soft"", ""emission_mu"": [-0.1036112745256752, 1.036112745256752, 0.1554169117885128], ""emission_sigma"": [0.6216676471540512, 2.5902818631418802, 0.2072225490513504], ""explore_subsample"": false, ""hmm_window"": 5, ""kde_tau"": 0.02754045167249469, ""n_chains"": 2, ""n_init"": 24, ""orchestrate_every"": 5, ""p_dream"": 0.9669622001623905, ""rejection_streak"": 23, ""seed"": 1, ""sigma_fraction"": 0.14839845971870938, ""wide_sigma_fraction"": 0.34403037879135195}",15.878880861794304,15.878880861794304,,random,,2.0367802228328564
cat__ackley_10d,cat,R__000,2,500,500,18.100561494398736,18.100561494398736,18.100561494398736,0.0,False,0.6785926999873482,0.012091299809981138,3.649904099991545,500.0,0.666501400177367,500,18.100561494398736,0.15151515151515152,0.9696969696969697,9,5,48,0.6783518999582157,0.021262400085106492,0.6570894998731092,0.6363636363636364,0.20068027210884354,0.3484848484848485,0.055900621118012424,0.015151515151515152,0.2857142857142857,"{""T_mcmc"": 0.146072722616095, ""burnin_fraction"": 0.07094127672921946, ""bw_prior_strength"": 148.07461753666936, ""decoder"": ""soft"", ""emission_mu"": [-0.1036112745256752, 1.036112745256752, 0.1554169117885128], ""emission_sigma"": [0.6216676471540512, 2.5902818631418802, 0.2072225490513504], ""explore_subsample"": false, ""hmm_window"": 5, ""kde_tau"": 0.02754045167249469, ""n_chains"": 2, ""n_init"": 24, ""orchestrate_every"": 5, ""p_dream"": 0.9669622001623905, ""rejection_streak"": 23, ""seed"": 2, ""sigma_fraction"": 0.14839845971870938, ""wide_sigma_fraction"": 0.34403037879135195}",18.100561494398736,18.100561494398736,,random,,2.3217546623619763
cat__ackley_10d,cat,R__000,3,500,500,12.962959636052403,12.962959636052403,12.962959636052403,0.0,False,0.7013358999975026,0.013234600599389523,3.7413584999740124,500.0,0.688101299398113,500,12.962959636052403,0.09978308026030369,0.9869848156182213,11,4,47,0.7011277000419796,0.022488399816211313,0.6786393002257682,0.46203904555314534,0.17370892018779344,0.5206073752711496,0.025,0.01735357917570499,0.375,"{""T_mcmc"": 0.146072722616095, ""burnin_fraction"": 0.07094127672921946, ""bw_prior_strength"": 148.07461753666936, ""decoder"": ""soft"", ""emission_mu"": [-0.1036112745256752, 1.036112745256752, 0.1554169117885128], ""emission_sigma"": [0.6216676471540512, 2.5902818631418802, 0.2072225490513504], ""explore_subsample"": false, ""hmm_window"": 5, ""kde_tau"": 0.02754045167249469, ""n_chains"": 2, ""n_init"": 24, ""orchestrate_every"": 5, ""p_dream"": 0.9669622001623905, ""rejection_streak"": 23, ""seed"": 3, ""sigma_fraction"": 0.14839845971870938, ""wide_sigma_fraction"": 0.34403037879135195}",12.962959636052403,12.962959636052403,,random,,1.6627557096683607
cat__ackley_10d,cat,R__000,4,500,500,13.995085822607797,13.995085822607797,13.995085822607797,0.0,False,0.4944876999943517,0.011407299898564816,3.53078979998827,500.0,0.4830804000957869,500,13.995085822607797,0.13785557986870897,0.9824945295404814,12,7,41,0.4942243000259623,0.019646199769340456,0.47457810025662184,0.6083150984682714,0.20863309352517986,0.37199124726477023,0.01764705882352941,0.019693654266958426,0.2222222222222222,"{""T_mcmc"": 0.146072722616095, ""burnin_fraction"": 0.07094127672921946, ""bw_prior_strength"": 148.07461753666936, ""decoder"": ""soft"", ""emission_mu"": [-0.1036112745256752, 1.036112745256752, 0.1554169117885128], ""emission_sigma"": [0.6216676471540512, 2.5902818631418802, 0.2072225490513504], ""explore_subsample"": false, ""hmm_window"": 5, ""kde_tau"": 0.02754045167249469, ""n_chains"": 2, ""n_init"": 24, ""orchestrate_every"": 5, ""p_dream"": 0.9669622001623905, ""rejection_streak"": 23, ""seed"": 4, ""sigma_fraction"": 0.14839845971870938, ""wide_sigma_fraction"": 0.34403037879135195}",13.995085822607797,13.995085822607797,,random,,1.795146286972961
cat__ackley_10d,cat,R__001,0,500,500,17.962302031047535,17.962302031047535,17.962302031047535,0.0,False,1.1846782000502571,0.012303899391554296,4.257303400023375,500.0,1.1723743006587029,500,17.962302031047535,0.6073752711496746,0.6594360086767896,20,2,27,1.1844462999724783,0.021850300254300237,1.162595999718178,0.6767895878524945,0.5544871794871795,0.31670281995661603,0.7123287671232876,0.006507592190889371,1.0,"{""T_mcmc"": 2.2570645695956433, ""burnin_fraction"": 0.09053322273736138, ""bw_prior_strength"": 4.638586366786659, ""decoder"": ""soft"", ""emission_mu"": [-0.001589965349231808, 0.015899653492318082, 0.002384948023847712], ""emission_sigma"": [0.009539792095390848, 0.0397491337307952, 0.003179930698463616], ""explore_subsample"": false, ""hmm_window"": 7, ""kde_tau"": 0.22426449422024736, ""n_chains"": 3, ""n_init"": 17, ""orchestrate_every"": 5, ""p_dream"": 0.6631806204725954, ""rejection_streak"": 7, ""seed"": 0, ""sigma_fraction"": 0.26979204397774065, ""wide_sigma_fraction"": 0.42891119705088326}",17.962302031047535,17.962302031047535,,random,,2.304020154305381
cat__ackley_10d,cat,R__001,1,500,500,14.621860159946275,14.621860159946275,14.621860159946275,0.0,False,1.3117054000031203,0.013312299561221153,4.350530299998354,500.0,1.2983931004418992,500,14.621860159946275,0.6025917926565875,0.6501079913606912,19,1,30,1.3115419000387192,0.023502499738242477,1.2880394003004767,0.6414686825053996,0.5791245791245792,0.34989200863930886,0.6419753086419753,0.008639308855291577,0.75,"{""T_mcmc"": 2.2570645695956433, ""burnin_fraction"": 0.09053322273736138, ""bw_prior_strength"": 4.638586366786659, ""decoder"": ""soft"", ""emission_mu"": [-0.001589965349231808, 0.015899653492318082, 0.002384948023847712], ""emission_sigma"": [0.009539792095390848, 0.0397491337307952, 0.003179930698463616], ""explore_subsample"": false, ""hmm_window"": 7, ""kde_tau"": 0.22426449422024736, ""n_chains"": 3, ""n_init"": 17, ""orchestrate_every"": 5, ""p_dream"": 0.6631806204725954, ""rejection_streak"": 7, ""seed"": 1, ""sigma_fraction"": 0.26979204397774065, ""wide_sigma_fraction"": 0.42891119705088326}",14.621860159946275,14.621860159946275,,random,,1.8755424802299918
cat__ackley_10d,cat,R__001,2,500,500,16.452371798848727,16.452371798848727,16.452371798848727,0.0,False,1.1729770000092685,0.01279299968155101,4.237959600053728,500.0,1.1601840003277175,500,16.452371798848727,0.6572668112798264,0.6876355748373102,20,2,26,1.1727424999698997,0.022133099962957203,1.1506094000069425,0.6594360086767896,0.6546052631578947,0.3297180043383948,0.6513157894736842,0.010845986984815618,1.0,"{""T_mcmc"": 2.2570645695956433, ""burnin_fraction"": 0.09053322273736138, ""bw_prior_strength"": 4.638586366786659, ""decoder"": ""soft"", ""emission_mu"": [-0.001589965349231808, 0.015899653492318082, 0.002384948023847712], ""emission_sigma"": [0.009539792095390848, 0.0397491337307952, 0.003179930698463616], ""explore_subsample"": false, ""hmm_window"": 7, ""kde_tau"": 0.22426449422024736, ""n_chains"": 3, ""n_init"": 17, ""orchestrate_every"": 5, ""p_dream"": 0.6631806204725954, ""rejection_streak"": 7, ""seed"": 2, ""sigma_fraction"": 0.26979204397774065, ""wide_sigma_fraction"": 0.42891119705088326}",16.452371798848727,16.452371798848727,,random,,2.1103417671717146
cat__ackley_10d,cat,R__001,3,500,500,18.05437324984001,18.05437324984001,18.05437324984001,0.0,False,1.1337063999962993,0.012516500253695995,1.1354535999707878,500.0,1.1211898997426033,500,18.05437324984001,0.6810344827586207,0.6745689655172413,18,1,28,1.1335611999966204,0.021484899800270796,1.1120763001963496,0.5905172413793104,0.6788321167883211,0.40301724137931033,0.6844919786096256,0.00646551724137931,0.6666666666666666,"{""T_mcmc"": 2.2570645695956433, ""burnin_fraction"": 0.09053322273736138, ""bw_prior_strength"": 4.638586366786659, ""decoder"": ""soft"", ""emission_mu"": [-0.001589965349231808, 0.015899653492318082, 0.002384948023847712], ""emission_sigma"": [0.009539792095390848, 0.0397491337307952, 0.003179930698463616], ""explore_subsample"": false, ""hmm_window"": 7, ""kde_tau"": 0.22426449422024736, ""n_chains"": 3, ""n_init"": 17, ""orchestrate_every"": 5, ""p_dream"": 0.6631806204725954, ""rejection_streak"": 7, ""seed"": 3, ""sigma_fraction"": 0.26979204397774065, ""wide_sigma_fraction"": 0.42891119705088326}",18.05437324984001,18.05437324984001,,random,,2.3158301073594294
cat__ackley_10d,cat,R__001,4,500,500,15.877722469031315,15.877722469031315,15.877722469031315,0.0,False,1.3463498000055552,0.013328399567399174,1.3484521000063978,500.0,1.333021400438156,500,15.877722469031315,0.6030368763557483,0.6247288503253796,22,0,18,1.3461884999996983,0.023378199548460543,1.3228103004512377,0.6767895878524945,0.5512820512820513,0.31670281995661603,0.7054794520547946,0.006507592190889371,1.0,"{""T_mcmc"": 2.2570645695956433, ""burnin_fraction"": 0.09053322273736138, ""bw_prior_strength"": 4.638586366786659, ""decoder"": ""soft"", ""emission_mu"": [-0.001589965349231808, 0.015899653492318082, 0.002384948023847712], ""emission_sigma"": [0.009539792095390848, 0.0397491337307952, 0.003179930698463616], ""explore_subsample"": false, ""hmm_window"": 7, ""kde_tau"": 0.22426449422024736, ""n_chains"": 3, ""n_init"": 17, ""orchestrate_every"": 5, ""p_dream"": 0.6631806204725954, ""rejection_streak"": 7, ""seed"": 4, ""sigma_fraction"": 0.26979204397774065, ""wide_sigma_fraction"": 0.42891119705088326}",15.877722469031315,15.877722469031315,,random,,2.036631636072211
